id,lat,lng,geoprivacy,observed_on,time_observed_at,place_guess
618099,-33.596776,151.325147,open,2012-11-23,2012-11-23T05:54:28-08:00,"Palm Beach, New South Wales, Australia"
618134,-33.798521,151.28612,open,2011-11-01,2011-11-01T05:09:34-07:00,"Manly, New South Wales, Australia"
1041548,-33.853346,151.245781,open,2014-10-27,2014-10-27T12:32:13+11:00,"Sydney Harbour National Park, New South Wales, Australia"
2679991,-33.726363,151.299662,open,2016-02-13,,"Collaroy Beach, Collaroy, NSW"
5082626,-33.8003212387,151.2975375652,open,2015-10-04,2015-10-04T07:09:00+11:00,"Manly NSW 2095, Australia"
5082838,-33.7909665871,151.2923297877,open,2016-11-26,,"Manly, NSW, Australia"
5598547,-33.9135245727,151.2666979694,open,2017-04-07,2017-04-07T14:06:00+10:00,"Sydney NSW, Australia"
6281793,-33.7984195123,151.2933082583,open,2017-05-20,,"Manly, NSW, Australia"
7078967,-34.1165971667,151.1396778333,open,2016-12-07,2016-12-07T16:00:32-05:00,"Royal National Park, , NSW, AU"
8200761,-33.800177,151.296898,open,2011-12-18,2011-12-18T12:16:08+11:00,"Shelly Beach, Manly, NSW"
8436875,-33.800669294,151.2933873832,open,2017-10-17,2017-10-17T18:50:00+11:00,"Sydney NSW, Australia"
8803549,-33.9923343902,151.2226867676,open,2017-11-14,2017-11-14T22:54:00+11:00,"Sydney NSW, Australia"
9629493,-33.7261684,151.3000623,open,2011-11-04,2011-11-04T18:06:00+11:00,"Collaroy Beach, New South Wales, Australia"
9759415,-34.063882,151.156474,open,2018-02-07,,shelly beach cronulla nsw
9820683,-33.8002321955,151.2970032692,open,2018-02-11,2018-02-11T18:01:00+11:00,"New South Wales, Australia"
9856770,-34.064138,151.155808,open,2015-09-19,2015-09-19T11:03:00+10:00,"Shelly Beach Cronulla New South Wales, Australia"
9857039,-33.9464133333,151.2580716667,open,2018-02-10,2018-02-10T18:54:17+11:00,"Maroubra Beach, , NSW, AU"
9857283,-33.9368833333,151.2602083333,open,2017-10-22,2017-10-22T12:18:05+11:00,"1R Waterside Avenue, , NSW, AU"
9888641,-33.9799081152,151.2513568131,open,2018-02-17,2018-02-17T16:30:48+11:00,"The Coast Golf Course, Little Bay, NSW, AU"
9903092,-33.8941033333,151.2742166667,open,2018-02-18,2018-02-18T16:31:50+11:00,"Bondi Beach, , NSW, AU"
15065804,-33.8939166121,151.2756605434,open,2016-01-25,2016-01-25T17:00:00+11:00,"Bondi Beach, NSW, Australia"
15065805,-33.8939166121,151.2756605434,open,2016-01-25,2016-01-25T17:00:00+11:00,"Bondi Beach, NSW, Australia"
