time,swell_height,swell_period,swell_dir,sea_height,sea_period,sea_dir
2023-12-04 11:00,0.25,9.118,118.54,0.287,7.05,119.014
2023-12-04 12:00,0.253,9.154,118.518,0.285,7.058,118.827
2023-12-04 13:00,0.256,9.172,118.473,0.283,7.064,118.696
2023-12-04 14:00,0.259,9.181,118.448,0.281,7.07,118.614
2023-12-04 15:00,0.263,9.182,118.4,0.28,7.076,118.575
2023-12-04 16:00,0.266,9.177,118.356,0.279,7.081,118.551
2023-12-04 17:00,0.269,9.172,118.321,0.278,7.084,118.519
2023-12-04 18:00,0.273,9.17,118.276,0.278,7.088,118.504
2023-12-04 19:00,0.276,9.178,118.198,0.277,7.093,118.489
2023-12-04 20:00,0.278,9.205,118.185,0.277,7.1,118.441
2023-12-04 21:00,0.28,9.252,118.193,0.277,7.104,118.357
2023-12-04 22:00,0.282,9.322,118.184,0.276,7.107,118.244
2023-12-04 23:00,0.283,9.423,118.262,0.276,7.108,118.108
2023-12-05 00:00,0.283,9.551,118.37,0.275,7.11,117.944
2023-12-05 01:00,0.284,9.724,118.554,0.276,7.112,117.749
2023-12-05 02:00,0.285,9.923,118.777,0.276,7.119,117.529
2023-12-05 03:00,0.285,10.189,119.115,0.277,7.13,117.295
2023-12-05 04:00,0.285,10.556,119.602,0.279,7.145,117.055
2023-12-05 05:00,0.285,10.974,120.14,0.28,7.165,116.8
2023-12-05 06:00,0.284,11.463,120.717,0.283,7.186,116.515
2023-12-05 07:00,0.283,11.883,121.276,0.287,7.203,116.188
2023-12-05 08:00,0.279,12.21,121.92,0.292,7.213,115.814
2023-12-05 09:00,0.277,12.306,122.472,0.299,7.213,115.407
2023-12-05 10:00,0.273,12.346,122.994,0.306,7.206,114.985
2023-12-05 11:00,0.267,12.369,123.465,0.311,7.195,114.556
2023-12-05 12:00,0.262,12.374,123.808,0.315,7.181,114.128
2023-12-05 13:00,0.256,12.369,124.063,0.317,7.168,113.689
2023-12-05 14:00,0.249,12.366,124.227,0.319,7.156,113.216
2023-12-05 15:00,0.242,12.363,124.255,0.322,7.146,112.63
2023-12-05 16:00,0.234,12.353,124.275,0.334,7.136,111.505
2023-12-05 17:00,0.22,12.331,124.282,0.383,7.092,107.911
2023-12-05 18:00,0.209,12.312,124.289,0.499,6.727,96.625
2023-12-05 19:00,0.206,12.288,124.287,0.544,6.423,90.626
2023-12-05 20:00,0.206,12.266,124.278,0.588,6.052,86.154
2023-12-05 21:00,0.209,12.227,124.261,0.643,5.612,84.567
2023-12-05 22:00,0.216,12.179,124.242,0.722,5.208,81.64
2023-12-05 23:00,0.229,12.121,124.226,0.806,5.03,73.975
2023-12-06 00:00,0.234,12.05,124.072,0.87,5.125,69.197
2023-12-06 01:00,0.232,11.982,123.937,0.906,5.367,67.973
2023-12-06 02:00,0.224,11.905,123.809,0.907,5.545,67.82
2023-12-06 03:00,0.218,11.819,123.655,0.899,5.665,67.988
2023-12-06 04:00,0.211,11.73,123.564,0.884,5.741,68.225
2023-12-06 05:00,0.205,11.652,123.567,0.869,5.787,68.269
2023-12-06 06:00,0.197,11.56,123.612,0.846,5.812,68.655
2023-12-06 07:00,0.172,11.461,123.678,0.724,5.625,84.431
2023-12-06 08:00,0.169,11.36,123.71,0.514,4.953,98.283
2023-12-06 09:00,0.171,11.255,123.719,0.423,5.066,107.733
2023-12-06 10:00,0.173,11.154,123.732,0.396,5.269,111.757
2023-12-06 11:00,0.171,11.059,123.768,0.398,5.498,112.32
2023-12-06 12:00,0.168,10.957,123.782,0.396,5.579,112.289
2023-12-06 13:00,0.164,10.855,123.799,0.39,5.583,112.317
2023-12-06 14:00,0.161,10.75,123.82,0.384,5.596,112.312
2023-12-06 15:00,0.159,10.641,123.854,0.373,5.654,112.884
2023-12-06 16:00,0.158,10.533,123.86,0.358,5.731,113.728
2023-12-06 17:00,0.156,10.435,123.862,0.345,5.789,114.443
2023-12-06 18:00,0.154,10.345,123.798,0.332,5.826,114.863
2023-12-06 19:00,0.152,10.265,123.705,0.319,5.847,115.187
2023-12-06 20:00,0.151,10.192,123.588,0.305,5.857,115.522
2023-12-06 21:00,0.149,10.12,123.473,0.291,5.868,115.986
2023-12-06 22:00,0.148,10.046,123.324,0.278,5.881,116.434
2023-12-06 23:00,0.147,9.955,123.237,0.265,5.903,116.906
2023-12-07 00:00,0.14,9.808,123.641,0.251,5.952,117.476
